City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Fairbanks,US,64.8378,-147.7164,26.01,33,1,9.22,clear sky
1,Saint-Philippe,RE,-21.3585,55.7679,77.0,73,0,5.75,clear sky
2,Boffa,GN,10.1667,-14.0333,77.32,83,56,6.44,broken clouds
3,Lompoc,US,34.6391,-120.4579,64.0,63,86,18.41,overcast clouds
4,Rikitea,PF,-23.1203,-134.9692,78.35,74,8,8.57,light rain
5,Albany,US,42.6001,-73.9662,64.99,67,100,10.63,overcast clouds
6,Puerto Ayora,EC,-0.7393,-90.3518,80.6,74,40,9.22,scattered clouds
7,Georgetown,MY,5.4112,100.3354,81.0,94,40,3.44,scattered clouds
8,Punta Arenas,CL,-53.15,-70.9167,57.2,38,0,10.36,clear sky
9,Digoin,FR,46.4812,3.9795,41.0,93,90,11.5,overcast clouds
10,Egvekinot,RU,66.3167,-179.1667,-6.39,81,100,20.6,overcast clouds
11,Leningradskiy,RU,69.3833,178.4167,-8.25,87,10,5.23,clear sky
12,Manta,EC,-0.95,-80.7333,84.2,70,75,9.22,broken clouds
13,Vaini,TO,-21.2,-175.2,80.6,69,20,5.75,few clouds
14,Hermanus,ZA,-34.4187,19.2345,64.99,79,100,5.01,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,82.67,75,94,11.01,overcast clouds
16,Rosarito,MX,32.3333,-117.0333,66.2,68,90,8.05,overcast clouds
17,Idritsa,RU,56.3316,28.8988,45.03,89,85,6.35,overcast clouds
18,Victoria,HK,22.2855,114.1577,73.0,85,93,8.84,overcast clouds
19,Kichera,RU,55.9375,110.0997,8.22,79,38,3.78,scattered clouds
20,Caucaia,BR,-3.7361,-38.6531,80.01,89,20,4.61,few clouds
21,Pangkalanbuun,ID,-2.6833,111.6167,75.22,98,99,0.43,overcast clouds
22,Kaitangata,NZ,-46.2817,169.8464,53.11,95,38,3.89,scattered clouds
23,Atuona,PF,-9.8,-139.0333,80.71,76,19,17.43,few clouds
24,Upernavik,GL,72.7868,-56.1549,30.99,76,100,17.98,light snow
25,Cherskiy,RU,68.75,161.3,-18.18,99,100,3.85,overcast clouds
26,Hamilton,US,39.1834,-84.5333,53.6,82,90,13.8,overcast clouds
27,Bandarbeyla,SO,9.4942,50.8122,79.07,70,8,7.34,clear sky
28,Goderich,CA,43.7501,-81.7165,59.0,72,91,2.3,overcast clouds
29,Tongliao,CN,43.6125,122.2653,49.71,52,9,21.99,clear sky
30,Jamestown,US,42.097,-79.2353,64.4,52,40,4.61,scattered clouds
31,Pokrovskoye,RU,47.4157,38.8971,46.99,100,100,11.01,overcast clouds
32,Marienburg,PL,54.0359,19.0266,55.99,55,100,12.26,overcast clouds
33,Hasaki,JP,35.7333,140.8333,46.4,93,20,4.61,few clouds
34,Sao Filipe,CV,14.8961,-24.4956,76.03,67,0,8.88,clear sky
35,Nikolskoye,RU,59.7035,30.7861,43.0,49,0,6.71,light rain
36,Loralai,PK,30.3705,68.598,69.39,14,32,9.01,scattered clouds
37,Kralendijk,BQ,12.15,-68.2667,82.4,74,75,18.41,broken clouds
38,Bluff,NZ,-46.6,168.3333,50.0,98,22,1.99,light rain
39,Matamoros,MX,25.5333,-103.25,93.2,11,75,5.64,broken clouds
40,Iqaluit,CA,63.7506,-68.5145,30.2,86,75,24.16,broken clouds
41,Makakilo City,US,21.3469,-158.0858,78.8,53,75,10.36,broken clouds
42,Pachino,IT,36.7186,15.0907,55.4,76,75,11.5,broken clouds
43,Bradford,GB,53.7939,-1.7521,36.0,32,99,3.0,overcast clouds
44,Norman Wells,CA,65.282,-126.8329,5.0,43,1,12.66,clear sky
45,Mataura,NZ,-46.1927,168.8643,50.0,98,82,1.99,broken clouds
46,Rafaela,AR,-31.2503,-61.4867,68.0,48,53,3.0,broken clouds
47,Yenangyaung,MM,20.4667,94.8833,81.88,59,7,5.01,clear sky
48,Ushuaia,AR,-54.8,-68.3,50.0,53,75,13.8,broken clouds
49,Barrow,US,71.2906,-156.7887,-13.0,77,1,5.75,clear sky
50,Sola,VU,-13.8833,167.55,80.28,71,99,2.42,light rain
51,Pangnirtung,CA,66.1451,-65.7125,33.8,60,75,4.76,broken clouds
52,Chekalin,RU,54.0969,36.245,39.2,65,0,2.24,clear sky
53,New Norfolk,AU,-42.7826,147.0587,48.99,80,100,2.37,overcast clouds
54,Mitsamiouli,KM,-11.3847,43.2844,81.59,74,98,8.41,overcast clouds
55,Goya,AR,-29.14,-59.2626,67.44,64,14,9.37,few clouds
56,Ponta Do Sol,PT,32.6667,-17.1,63.0,79,100,1.99,overcast clouds
57,Port Alfred,ZA,-33.5906,26.891,66.58,91,96,3.71,overcast clouds
58,Leh,IN,34.1667,77.5833,30.54,87,100,2.82,light snow
59,Pangai,TO,-19.8,-174.35,80.6,78,40,2.3,scattered clouds
60,Faanui,PF,-16.4833,-151.75,82.47,70,100,11.25,overcast clouds
61,Joue-Les-Tours,FR,47.3522,0.6691,43.0,75,75,5.75,broken clouds
62,Lebu,CL,-37.6167,-73.65,59.63,78,0,13.47,clear sky
63,Cape Town,ZA,-33.9258,18.4232,66.0,94,0,12.66,clear sky
64,Busselton,AU,-33.65,115.3333,61.0,99,100,1.01,overcast clouds
65,Kokopo,PG,-4.352,152.2633,76.69,88,100,4.9,light rain
66,Buala,SB,-8.145,159.5921,79.81,78,100,0.81,overcast clouds
67,Port Hawkesbury,CA,45.6169,-61.3485,39.99,93,90,12.66,fog
68,Kasba,IN,25.85,87.55,78.01,8,14,3.31,few clouds
69,Manhattan,US,40.7834,-73.9662,55.0,94,90,6.91,mist
70,Kloulklubed,PW,7.0419,134.2556,75.2,94,90,12.97,overcast clouds
71,Severo-Kurilsk,RU,50.6789,156.125,33.89,67,100,6.73,overcast clouds
72,Chimoio,MZ,-19.1164,33.4833,68.0,100,20,4.61,fog
73,Kapaa,US,22.0752,-159.319,75.0,68,90,9.22,light rain
74,Orocue,CO,4.7912,-71.3354,87.96,53,96,2.82,overcast clouds
75,Rovnoye,RU,50.7765,46.0509,49.44,86,99,8.79,overcast clouds
76,Oksfjord,NO,70.2396,22.3479,34.0,64,0,19.57,snow
77,Avarua,CK,-21.2078,-159.775,82.4,78,18,4.61,moderate rain
78,Mamallapuram,IN,12.6264,80.1722,82.4,74,40,5.75,mist
79,Yulara,AU,-25.2406,130.9889,57.2,54,7,10.36,clear sky
80,Saint-Georges,GD,12.0564,-61.7485,84.2,74,20,11.5,few clouds
81,Saint George,US,37.1041,-113.5841,84.99,9,1,6.91,clear sky
82,Maracaibo,VE,10.6317,-71.6406,87.98,57,65,11.1,broken clouds
83,Huarmey,PE,-10.0681,-78.1522,73.11,76,97,10.11,overcast clouds
84,Sitka,US,57.0531,-135.33,39.2,70,90,3.4,overcast clouds
85,Vestmanna,FO,62.1564,-7.1664,30.2,80,57,8.21,broken clouds
86,Hilo,US,19.7297,-155.09,80.6,47,1,10.36,clear sky
87,Bambous Virieux,MU,-20.3428,57.7575,79.0,94,75,4.61,broken clouds
88,Souillac,MU,-20.5167,57.5167,77.0,94,75,4.61,broken clouds
89,Bredasdorp,ZA,-34.5322,20.0403,57.2,94,100,3.44,overcast clouds
90,Ribeira Grande,PT,38.5167,-28.7,62.6,94,75,10.36,broken clouds
91,Korla,CN,41.7597,86.1469,52.43,44,19,22.08,few clouds
92,Nemuro,JP,43.3236,145.575,36.77,85,3,9.31,clear sky
93,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,8.05,broken clouds
94,Kimry,RU,56.8667,37.35,48.16,74,95,5.64,overcast clouds
95,Great Yarmouth,GB,52.6083,1.7305,36.0,87,86,5.75,overcast clouds
96,Oparino,RU,59.8518,48.2783,31.39,95,5,5.03,clear sky
97,Brokopondo,SR,4.75,-55.1667,79.72,83,42,4.47,scattered clouds
98,Novomykolayivka,UA,47.9781,35.9102,51.8,46,75,8.95,broken clouds
99,Lewisporte,CA,49.2499,-55.0482,41.0,100,90,21.85,mist
100,Banda Aceh,ID,5.5577,95.3222,79.43,80,4,3.04,clear sky
101,Ancud,CL,-41.8697,-73.8203,59.0,100,75,14.97,broken clouds
102,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,28.4,74,70,6.71,broken clouds
103,Arraial Do Cabo,BR,-22.9661,-42.0278,78.8,78,0,9.22,clear sky
104,Khatanga,RU,71.9667,102.5,17.02,84,99,12.21,overcast clouds
105,Cidreira,BR,-30.1811,-50.2056,81.03,62,80,4.88,broken clouds
106,Gubin,PL,51.9496,14.7284,54.0,71,97,1.99,overcast clouds
107,Arman,RU,59.7,150.1667,8.08,87,100,13.58,overcast clouds
108,Maunabo,PR,18.0072,-65.8993,80.01,71,99,5.01,overcast clouds
109,Mar Del Plata,AR,-38.0023,-57.5575,66.2,59,20,11.5,few clouds
110,Sandwick,GB,60.0,-1.25,35.6,75,23,10.36,few clouds
111,Tuktoyaktuk,CA,69.4541,-133.0374,-5.8,65,1,9.22,clear sky
112,Gagino,RU,55.2314,45.0339,33.64,97,100,6.55,overcast clouds
113,Tiksi,RU,71.6872,128.8694,4.28,71,100,7.92,overcast clouds
114,Saint-Avertin,FR,47.3636,0.7399,43.0,75,75,5.75,broken clouds
115,Ixtapa,MX,20.7,-105.2,80.6,69,1,13.8,clear sky
116,Bengkulu,ID,-3.8004,102.2655,75.34,90,100,4.63,overcast clouds
117,Necochea,AR,-38.5473,-58.7368,64.99,75,0,7.0,clear sky
118,Baherden,TM,38.4362,57.4316,67.84,22,62,11.48,broken clouds
119,Hobart,AU,-42.8794,147.3294,48.99,81,75,11.5,broken clouds
120,Kodiak,US,57.79,-152.4072,39.2,87,90,17.27,moderate rain
121,Presidencia Roque Saenz Pena,AR,-26.7852,-60.4388,66.0,79,100,5.37,overcast clouds
122,Fernley,US,39.608,-119.2518,62.01,20,0,1.99,clear sky
123,Alta Floresta,BR,-9.8756,-56.0861,82.4,69,20,2.3,few clouds
124,Afrikanda,RU,67.4429,32.7828,32.0,84,13,11.5,few clouds
125,Bangassou,CF,4.7413,22.8184,72.95,84,80,5.39,broken clouds
126,Chifeng,CN,42.2683,118.9636,48.02,61,2,11.01,clear sky
127,Mbini,GQ,1.574,9.6134,75.2,100,40,4.05,scattered clouds
128,Saskylakh,RU,71.9167,114.0833,10.58,96,91,7.23,overcast clouds
129,Yellowknife,CA,62.456,-114.3525,10.0,66,90,8.05,light snow
130,Lazaro Cardenas,MX,17.9583,-102.2,82.96,56,25,12.01,scattered clouds
131,Rio Brilhante,BR,-21.8019,-54.5464,89.51,38,72,7.63,broken clouds
132,Chuy,UY,-33.6971,-53.4616,64.11,79,93,20.15,overcast clouds
133,Cayenne,GF,4.9333,-52.3333,84.2,74,0,6.91,clear sky
134,Longyearbyen,SJ,78.2186,15.6401,19.4,58,75,14.97,broken clouds
135,Hervey Bay,AU,-25.2986,152.8535,61.0,55,0,3.0,clear sky
136,Kosh-Agach,RU,50.0,88.6667,16.23,50,23,4.14,few clouds
137,Dikson,RU,73.5069,80.5464,30.79,87,100,26.08,overcast clouds
138,Clyde River,CA,70.4692,-68.5914,30.2,74,40,8.05,scattered clouds
139,Vredendal,ZA,-31.6683,18.5012,68.14,55,85,1.95,overcast clouds
140,Coquimbo,CL,-29.9533,-71.3436,60.8,77,20,14.97,few clouds
141,Kargasok,RU,59.0556,80.8572,36.39,86,100,14.07,overcast clouds
142,Marmaris,TR,36.855,28.2742,59.0,35,0,11.5,clear sky
143,Kiruna,SE,67.8557,20.2251,23.0,80,74,9.22,broken clouds
144,Avera,US,33.194,-82.5271,78.8,60,40,11.5,scattered clouds
145,Lasa,IT,46.6166,10.7002,48.0,93,75,5.75,mist
146,Caracuaro,MX,19.0106,-101.1264,101.95,10,5,5.44,clear sky
147,Cabo San Lucas,MX,22.8909,-109.9124,86.0,34,75,11.5,broken clouds
148,Jalu,LY,29.0331,21.5482,62.47,20,4,10.54,clear sky
149,Hammond,US,41.5834,-87.5,54.0,71,90,5.75,overcast clouds
150,Vanimo,PG,-2.6741,141.3028,78.03,88,100,5.68,overcast clouds
151,Nome,US,64.5011,-165.4064,25.0,86,90,28.77,snow
152,Harwich,GB,51.9419,1.2844,36.0,73,100,4.0,overcast clouds
153,Vao,NC,-22.6667,167.4833,75.83,78,31,6.51,scattered clouds
154,San Patricio,US,28.017,-97.5169,87.8,57,75,11.5,broken clouds
155,Sardarpur,IN,22.678,74.9484,82.02,13,1,8.59,clear sky
156,Pindi Bhattian,PK,31.8978,73.273,77.34,25,96,5.95,overcast clouds
157,Yar-Sale,RU,66.8333,70.8333,32.95,95,100,20.27,light snow
158,Chirongui,YT,-12.9319,45.1483,78.8,89,75,4.61,light rain
159,Dingle,PH,10.9995,122.6711,74.71,86,99,5.93,overcast clouds
160,Sigli,ID,5.3848,95.9609,78.37,82,5,4.68,clear sky
161,Vanavara,RU,60.34,102.2797,23.65,98,100,1.68,light snow
162,Buguruslan,RU,53.6554,52.442,48.94,84,100,5.14,overcast clouds
163,Dunedin,NZ,-45.8742,170.5036,57.99,81,49,1.01,scattered clouds
164,Bonavista,CA,48.6499,-53.1147,35.6,100,100,9.22,moderate rain
165,Havre-Saint-Pierre,CA,50.2334,-63.5986,57.2,54,90,16.11,overcast clouds
166,Asgabat,TM,37.95,58.3833,68.0,19,75,11.5,broken clouds
167,Sabha,LY,27.0377,14.4283,77.38,14,87,22.35,overcast clouds
168,Pizarro,CO,4.9533,-77.366,81.37,76,100,3.65,overcast clouds
169,Narsaq,GL,60.9167,-46.05,50.0,29,0,11.5,clear sky
170,Raudeberg,NO,61.9875,5.1352,37.99,79,11,14.27,few clouds
171,Tagusao,PH,9.1924,117.8141,78.39,81,56,4.45,broken clouds
172,Nizwa,OM,22.9333,57.5333,77.0,44,2,3.51,clear sky
173,Thinadhoo,MV,0.5333,72.9333,82.74,69,48,9.95,scattered clouds
174,Morondava,MG,-20.2833,44.2833,78.17,67,87,7.25,overcast clouds
175,Cedar City,US,37.6775,-113.0619,66.99,11,1,7.49,clear sky
176,Katsuura,JP,35.1333,140.3,53.6,76,20,6.91,few clouds
177,Araouane,ML,18.9048,-3.5265,91.04,8,0,8.46,clear sky
178,Fukue,JP,32.6881,128.8419,62.17,71,100,16.24,light rain
179,Kantilo,IN,20.35,85.1833,78.8,94,75,6.91,haze
180,Pacific Grove,US,36.6177,-121.9166,61.0,59,75,12.66,broken clouds
181,Yichang,CN,30.7144,111.2847,53.01,87,94,1.57,light rain
182,Marquette,US,46.5333,-87.6335,46.0,91,100,3.0,light rain
183,Krasnoselkup,RU,65.7,82.4667,31.55,97,100,21.61,snow
184,Fayaoue,NC,-20.65,166.5333,78.58,83,98,8.52,overcast clouds
185,Zambezi,ZM,-13.5432,23.1047,61.74,61,15,5.84,few clouds
186,East London,ZA,-33.0153,27.9116,71.35,84,100,3.02,overcast clouds
187,Port Blair,IN,11.6667,92.75,81.75,76,100,5.01,overcast clouds
188,Srednekolymsk,RU,67.45,153.6833,-16.69,99,100,2.13,overcast clouds
189,Chokurdakh,RU,70.6333,147.9167,-12.96,97,59,9.82,broken clouds
190,Mugan,CN,35.9404,101.3842,38.71,33,45,3.4,scattered clouds
191,Dawlatabad,AF,36.4141,64.9053,63.66,33,69,6.67,broken clouds
192,Bathsheba,BB,13.2167,-59.5167,78.8,69,40,12.66,volcanic ash
193,Muravlenko,RU,63.7898,74.523,33.67,94,100,19.1,overcast clouds
194,Guiratinga,BR,-16.3494,-53.7583,80.19,58,63,3.62,broken clouds
195,Butaritari,KI,3.0707,172.7902,80.94,78,31,9.71,light rain
196,Lagoa,PT,39.05,-27.9833,61.86,84,100,9.64,overcast clouds
197,Touros,BR,-5.1989,-35.4608,80.6,83,40,6.91,scattered clouds
198,Leo,BF,11.1,-2.1,91.11,21,71,6.53,broken clouds
199,San Cristobal,VE,7.7669,-72.225,89.6,51,40,11.5,scattered clouds
200,Guerrero Negro,MX,27.9769,-114.0611,67.23,57,98,16.71,overcast clouds
201,Brigantine,US,39.4101,-74.3646,61.0,94,90,5.75,mist
202,Airai,TL,-8.9266,125.4092,58.21,87,27,2.06,scattered clouds
203,Berlevag,NO,70.8578,29.0864,33.8,80,40,28.77,scattered clouds
204,Guiyang,CN,26.5833,106.7167,51.8,93,90,4.47,overcast clouds
205,Dandong,CN,40.1292,124.3947,48.72,59,100,3.87,moderate rain
206,Turukhansk,RU,65.8167,87.9833,21.45,89,100,10.33,overcast clouds
207,Praxedis Guerrero,MX,31.3667,-106.0167,86.0,7,75,17.27,broken clouds
208,Bawal,IN,28.0833,76.5833,80.02,10,0,1.92,clear sky
209,Toora-Khem,RU,52.4675,96.11,23.49,90,72,1.39,broken clouds
210,Paamiut,GL,61.994,-49.6678,34.68,81,7,6.29,clear sky
211,Belyy Yar,RU,53.6039,91.3903,26.6,68,40,2.24,smoke
212,Bulawayo,ZW,-20.15,28.5833,61.25,66,0,10.36,clear sky
213,Tromso,NO,69.6496,18.957,32.0,93,75,9.22,light snow
214,Warragul,AU,-38.1667,145.9333,48.99,93,100,1.99,overcast clouds
215,Brae,GB,60.3964,-1.353,35.6,75,51,10.36,broken clouds
216,Port Lincoln,AU,-34.7333,135.8667,59.49,63,100,14.76,overcast clouds
217,Lavrentiya,RU,65.5833,-171.0,4.89,75,100,31.14,overcast clouds
218,Green River,US,41.5286,-109.4662,48.2,18,1,17.27,clear sky
219,Alice Springs,AU,-23.7,133.8833,46.4,81,37,3.44,scattered clouds
220,Pisco,PE,-13.7,-76.2167,75.0,64,0,19.57,clear sky
221,Udachnyy,RU,66.4167,112.4,-16.51,92,72,4.43,broken clouds
222,Mahebourg,MU,-20.4081,57.7,77.0,94,75,4.61,broken clouds
223,Port Elizabeth,ZA,-33.918,25.5701,59.0,87,77,1.01,broken clouds
224,Arrifes,PT,37.7667,-25.7,62.6,94,75,8.05,broken clouds
225,Carnarvon,AU,-24.8667,113.6333,78.8,89,40,13.8,scattered clouds
226,Tarko-Sale,RU,64.9225,77.785,33.53,98,100,16.73,light snow
227,Tuatapere,NZ,-46.1333,167.6833,50.0,98,86,1.99,overcast clouds
228,Sirawai,PH,7.5854,122.1407,78.15,84,37,4.61,scattered clouds
